,Time,Country,Old to Working Age Dependency Ratio
542,2039,China,40.37607805632776
543,2040,China,41.569789838265415
544,2041,China,42.54000759023618
545,2042,China,43.339488617154984
546,2043,China,44.027946013669656
547,2044,China,44.79209462062547
548,2045,China,45.689534294041614
549,2046,China,46.71569001654955
550,2047,China,47.9614062766335
551,2048,China,49.14350849314279
552,2049,China,50.205567026978926
553,2050,China,51.47120917355971
554,2051,China,53.01764011698092
555,2052,China,54.88961390414664
556,2053,China,56.82051575282857
557,2054,China,58.75200852571085
558,2055,China,60.90964981874934
559,2056,China,62.67535957907224
560,2057,China,63.740855691550145
561,2058,China,64.55345667222126
562,2059,China,65.20596949632676
563,2060,China,65.73901186557835
564,2061,China,66.15604307169365
565,2062,China,66.45326302842503
566,2063,China,66.6645463670859
567,2064,China,66.8350545337262
568,2065,China,67.11517596640672
569,2066,China,67.4360092493556
570,2067,China,67.6943181403083
571,2068,China,67.98904138310078
572,2069,China,68.37706059963567
573,2070,China,68.89920848774274
574,2071,China,69.55684829389382
575,2072,China,70.37407238636396
576,2073,China,71.38241293336745
577,2074,China,72.5823106024515
578,2075,China,73.8859794983615
579,2076,China,75.22557285474835
580,2077,China,76.8484598107235
581,2078,China,78.63200752635534
582,2079,China,80.42471761188821
583,2080,China,82.1781458474978
584,2081,China,83.95604024095502
585,2082,China,86.02748596065372
586,2083,China,87.68879934759775
587,2084,China,88.69720068034333
588,2085,China,89.11406781809131
589,2086,China,88.81518002485132
590,2087,China,88.25827204635644
591,2088,China,87.71223213290597
592,2089,China,87.18952694454886
593,2090,China,86.68469242598582
594,2091,China,86.1957687254662
595,2092,China,85.72634425704506
596,2093,China,85.27476158818953
597,2094,China,84.84681867309777
598,2095,China,84.44725260516583
599,2096,China,84.07580779479491
600,2097,China,83.74067725300412
601,2098,China,83.4521340155258
602,2099,China,83.20487022510027
603,2100,China,83.00743791065327
604,1950,India,5.2581507536402725
605,1951,India,5.297058754995623
606,1952,India,5.389200976977651
607,1953,India,5.50873485158734
608,1954,India,5.61248235650587
609,1955,India,5.687269077029137
610,1956,India,5.733617522053238
611,1957,India,5.7486669049046535
612,1958,India,5.75665809474379
613,1959,India,5.790728944123967
